M1(°C)	M2(°C)	V(km/h)	P(kPa)
33.6	22.6	15	2.025
29.6	22.6	7	2.0232
27.4	19.9	14	2.023
25.7	16.6	8	1.011
27.6	16.4	13	2.021
25.8	18.8	11	1.0101
25.8	18	14	1.0098
24.1	16.8	15	2.0186
23.2	15.1	9	1.009
23.1	13.1	15	1.0091
26.2	12.8	9	1.0088
26.5	15.4	15	1.0082
28.5	15.5	14	2.0154
21.3	17.3	7	1.0099
24.5	18.1	10	2.0202
23.5	15.6	6	2.021
25.3	15.5	15	2.0212
29.3	20.1	5	1.0122
30.3	20.3	6	2.0236
31.7	21.8	12	2.0234
32.9	22.6	5	2.0226
33.2	21.2	7	2.0218
31.5	24.5	14	2.021
26.6	18.1	9	1.0102
27.4	16.7	15	2.02
29.8	16.3	9	2.0196
29.7	17.7	10	2.0192
27.5	16.1	7	2.0192
24.8	16.7	8	2.061
24.5	16.8	9	1.0297
23.1	13.8	6	1.0293
24.6	15.6	11	2.06
26.4	18.3	6	1.0302
26.1	18.8	6	1.0297
28.4	14.4	12	1.0302
26.7	20	15	1.0296
29.3	20.7	6	1.0289
25.7	13.5	7	2.0244
29.9	12.5	6	2.0236
31.8	17.6	14	1.0117
32.1	22.5	18	2.0226
29.1	21	14	1.0109
28.5	23.5	19	1.0105
25.6	16.8	15	1.0102
27.1	14.4	17	1.01
17.2	16.1	11	2.0196
20.4	14.4	13	1.0096
22.4	14.4	15	1.0096
26.7	14.7	11	2.0176
29	17	17	2.0164
28.9	18.4	11	2.0154
29.3	18.6	15	1.0099
29.2	20.3	20	2.0202
20.1	11.9	15	2.021
23	8.6	19	1.0106
24.5	10.5	19	1.0099
24.8	11.5	15	2.018
20.3	11.7	18	1.0091
16.3	9.6	20	1.0094
19.2	5.7	22	1.0071
24.1	5.5	25	1.007
21.7	14	25	1.0061
24.8	15.2	20	1.0067
12.6	9.8	18	1.0057
14.6	4.2	19	1.0056
13.2	3.8	22	1.0045
13.1	4	18	2.007
16.7	3.8	24	2.0638
16.4	4.4	15	1.0316
15	11.4	16	1.0319
18.8	10.9	17	1.0317
13.9	4.3	15	1.0316
7.9	5.2	25	2.0616
12	2.7	24	1.0307
18.1	7.8	37	1.0305
24.8	13.3	35	2.0594
18.7	13.7	35	2.0586
12.2	8.5	42	1.03
14	3.4	39	1.0302
11.7	6.6	37	2.0594
7.9	1.2	43	2.0604
4.6	-2.7	43	2.0592
12.3	-3.8	42	1.0289
18	6.3	40	1.009
10.3	-0.2	36	2.0182
17.3	3.5	44	1.0094
9.4	2.6	43	1.0071
12.6	-0.8	44	2.014
12.8	7.3	38	2.0122
8.8	0.7	35	1.0067
11.9	-1.8	39	1.0057
8.8	0.2	37	1.0056
15	6	36	2.009
8.6	4	40	2.007
9.3	-1.7	43	2.0064
14	5.8	43	2.0036
12.4	7.8	41	1.002
16.1	5.6	42	1.0014
14	2.9	44	1.0013
17.4	3.5	37	1.0005
20.2	8.7	41	2.0008
11.3	6.8	42	2.0004
7.8	-0.2	40	2.0002
12.7	4.5	35	0.9996
12.7	0.9	38	0.9996
10.3	3.9	39	1.0079
11.1	5.7	41	2.015
9.8	6.7	37	2.0146
5	-0.2	42	1.0078
7.1	0.2	42	1.0086
8.2	2.5	41	1.0094
6.2	-3.8	37	2.0206
11.4	-3.3	45	2.0226
14.4	5.4	45	2.025
9.3	5.8	36	1.0132
6.8	-0.4	45	1.0133
7.9	2.6	38	2.0272
1.6	-4.6	35	1.0133
-2.7	-5.7	35	1.0139g
5.3	-6.8	39	1.0134
11.2	-1.9	35	1.0139
13.9	8.8	36	1.0146
0.3	-2	40	2.0316
0.2	-5.2	37	2.0332
-2.8	-9.7	38	2.0346
1.2	-7.3	39	1.0178
3.4	-0.1	38	2.0364
11.3	6.8	42	2.0004
7.8	-0.2	40	1.0001
12.7	4.5	35	0.9996
12.7	0.9	38	1.9992
10.3	3.9	39	1.0079
11.1	5.7	41	1.0075
9.8	6.7	37	2.0146
5	-0.2	42	2.0156
7.1	0.2	42	2.0172
8.2	2.5	41	2.0188
6.2	-3.8	37	2.0206
11.4	-3.3	45	2.0226
14.4	5.4	45	1.0125
11.3	6.8	42	1.0002
7.8	-0.2	40	2.0002
12.7	4.5	35	0.9996
12.7	0.9	38	0.9996
10.3	3.9	39	1.0079
11.1	5.7	41	2.015
9.8	6.7	37	2.0146
11.3	6.8	42	2.0004
