M1(°C)	M2(°C)	V(km/h)	P(kPa)
25	14.2	20	2.0288
9.8	7.8	17	1.0133
22.1	7.8	19	1.0127
18.7	6.9	16	2.0238
19.2	6.1	23	2.0218
23	8.7	23	1.0099
21.8	15.5	24	2.0188
26.8	14.9	25	2.017
30	11.5	19	1.0079
27.9	17.8	23	2.0188
16.1	7.2	8	2.0206
20.8	8.5	14	1.0113
13.1	6.5	13	2.0244
16.6	1.8	9	1.0122
27.6	12.4	7	1.0118
21.7	16	10	1.0117
29.4	15.5	6	2.0226
28.2	20.5	11	1.0109
23.1	18.3	14	1.0105
25.8	11.1	11	2.0204
30.7	18.3	5	1.0146
15.1	8.5	6	2.0316
15.5	10.9	12	1.0117
13.4	8.4	6	2.0236
20.1	4.7	12	1.0117
27.1	8.3	13	1.012
25.1	15.2	8	1.0123
21.9	9.1	8	1.0122
23.6	8.1	10	2.0244
22.1	14.7	14	2.0236
24.1	16.8	5	1.0117
25.2	15.9	8	2.0226
23.2	16.7	7	1.0109
22.3	17.4	14	1.0105
27.6	13.4	15	1.0102
24.7	14.3	15	1.01
23	15.8	11	2.0196
23.7	17.7	6	2.0192
23.5	11.2	14	1.0096
27.9	14.7	8	1.0094
23	11.8	15	2.0198
26	10.4	12	1.0101
24.7	18.2	11	1.0105
28	17.1	14	1.0106
27.4	19.6	6	2.0212
24.8	13.1	14	2.0236
24.3	12.3	12	2.0238
25.2	13.2	12	1.0117
25.1	13.5	7	2.0236
15.1	13.8	13	1.0117
20.4	12.3	7	1.012
27.5	15.1	7	2.0246
21.4	17.3	9	2.0244
23.7	13.8	12	2.0244
25.1	13.8	11	2.0236
26.8	15.2	6	2.0234
27.6	17.3	9	1.0113
29.4	17.7	9	1.0109
31.1	20.7	11	1.0105
25.5	15.5	6	2.0204
24.9	15.2	14	2.02
29.9	16.2	6	1.0098
29.7	18.8	13	1.0096
31.6	20.9	9	2.0192
32	18.9	8	1.0094
30.2	23	10	2.0198
24.3	13.3	15	1.0101
25.7	10.9	7	1.0105
26.6	14.3	11	1.0106
25	17	5	2.0278
29.4	20.2	5	1.0139
28	19.7	15	2.0286
24.9	18.1	11	1.0145
23.1	14.6	14	2.0292
25.3	16.2	10	2.029
25.4	16.7	14	1.0145
28.2	14.9	15	1.0142
28.7	19.2	7	1.0139
31.1	20.2	9	1.0134
31.7	18.9	8	1.013
33.6	22.6	15	2.025
29.6	22.6	7	1.0116
27.4	19.9	14	1.0115
25.7	16.6	8	1.011
27.6	16.4	13	2.021
25.8	18.8	11	2.0202
25.8	18	14	2.0196
24.1	16.8	15	1.0093
23.2	15.1	9	1.009
23.1	13.1	15	2.0182
26.2	12.8	9	1.0088
26.5	15.4	15	1.0082
28.5	15.5	14	1.0077
21.3	17.3	7	2.0198
24.5	18.1	10	1.0101
23.5	15.6	6	1.0105
25.3	15.5	15	2.0212
29.3	20.1	5	2.0244
30.3	20.3	6	1.0118
31.7	21.8	12	1.0117
32.9	22.6	5	1.0113
33.2	21.2	7	2.0218
31.5	24.5	14	1.0105
26.6	18.1	9	1.0102
27.4	16.7	15	1.01
29.8	16.3	9	1.0098
29.7	17.7	10	2.0192
27.5	16.1	7	1.0096
24.8	16.7	8	2.061
24.5	16.8	9	1.0297
23.1	13.8	6	1.0293
24.6	15.6	11	1.03
26.4	18.3	6	1.0302
26.1	18.8	6	2.0594
28.4	14.4	12	2.0604
26.7	20	15	1.0296
29.3	20.7	6	1.0289
25.7	13.5	7	1.0122
29.9	12.5	6	2.0236
31.8	17.6	14	1.0117
32.1	22.5	18	1.0113
29.1	21	14	2.0218
28.5	23.5	19	2.021
25.6	16.8	15	1.0102
27.1	14.4	17	2.02
17.2	16.1	11	1.0098
20.4	14.4	13	2.0192
22.4	14.4	15	1.0096
26.7	14.7	11	2.0176
29	17	17	1.0082
28.9	18.4	11	1.0077
29.3	18.6	15	1.0099
29.2	20.3	20	2.0202
20.1	11.9	15	1.0105
23	8.6	19	2.0212
24.5	10.5	19	1.0099
24.8	11.5	15	2.018
20.3	11.7	18	2.0182
16.3	9.6	20	1.0094
19.2	5.7	22	2.0142
24.1	5.5	25	1.007
21.7	14	25	2.0122
24.8	15.2	20	2.0134
12.6	9.8	18	2.0114
14.6	4.2	19	1.0056
13.2	3.8	22	2.009
13.1	4	18	2.007
16.7	3.8	24	2.0638
16.4	4.4	15	1.0316
15	11.4	16	2.0638
18.8	10.9	17	2.0634
13.9	4.3	15	2.0632
7.9	5.2	25	2.0616
12	2.7	24	2.0614
18.1	7.8	37	1.0305
24.8	13.3	35	2.0594
18.7	13.7	35	2.0586
12.2	8.5	42	1.03
14	3.4	39	1.0302
11.7	6.6	37	1.0297
7.9	1.2	43	2.0604
4.6	-2.7	43	2.0592
12.3	-3.8	42	2.0578
18	6.3	40	1.009
10.3	-0.2	36	2.0182
17.3	3.5	44	1.0094
9.4	2.6	43	2.0142
12.6	-0.8	44	1.007
12.8	7.3	38	1.0061
8.8	0.7	35	1.0067
11.9	-1.8	39	2.0114
8.8	0.2	37	2.0112
15	6	36	1.0045
8.6	4	40	2.007
9.3	-1.7	43	1.0032
14	5.8	43	2.0036
12.4	7.8	41	1.002
16.1	5.6	42	2.0028
14	2.9	44	2.0026
17.4	3.5	37	2.001
20.2	8.7	41	2.0008
11.3	6.8	42	2.0004
7.8	-0.2	40	1.0001
12.7	4.5	35	1.9992
12.7	0.9	38	1.9992
10.3	3.9	39	1.0079
11.1	5.7	41	2.015
9.8	6.7	37	1.0073
5	-0.2	42	2.0156
7.1	0.2	42	1.0086
8.2	2.5	41	2.0188
6.2	-3.8	37	2.0206
11.4	-3.3	45	2.0226
14.4	5.4	45	2.025
9.3	5.8	36	2.0264
6.8	-0.4	45	2.0266
7.9	2.6	38	2.0272
1.6	-4.6	35	2.0266
-2.7	-5.7	35	2.0278
5.3	-6.8	39	2.0268
11.2	-1.9	35	1.0139
13.9	8.8	36	2.0292
0.3	-2	40	1.0158
0.2	-5.2	37	1.0166
-2.8	-9.7	38	2.0346
1.2	-7.3	39	2.0356
3.4	-0.1	38	2.0364
5.9	2.3	43	1.0184
5.5	0.2	38	1.0184
6.3	4.2	40	1.0133
6.4	2.6	43	2.0272
5.9	1.2	44	1.0133
4.2	-1.4	43	1.0287
8.4	0.2	41	1.0291
10.3	4.9	45	1.0295
14.6	6.7	36	2.0594
10	5.4	35	1.03
3.9	-0.4	45	1.0305
3	0.6	39	2.0618
3.5	1.9	39	1.0313
1.4	-1	35	1.0319
8	-0.1	42	2.0632
4.1	2.6	39	2.0638
0.7	-1.3	36	1.0317
0.7	-5.8	40	1.0316
4.2	-2	35	1.0308
2.6	0.6	38	1.0307
11.7	0.7	42	2.061
17.6	2.8	41	0.41
8.1	5.1	41	0.82
5.4	-0.7	39	0.39
-0.7	-2	35	0.35
-9.4	-11.2	42	0.84
-8.1	-12.2	39	0.39
-3.4	-9.4	41	0.41
-0.6	-6	44	0.88
